P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,Activity
-2.586424797,-0.13763325,0.936844229,-0.28552889,-0.329482486,-0.098932018,0.1550593,-0.183907499,0.374601151,0.2956218,0.152358492,-0.314008251,0.034655623,0.013401378,0.175779921,-0.21027475,-0.303771436,-0.103053957,0.163756889,0.045998492,-0.147615619,-0.21968761,-0.158690621,-0.0901066,-0.000883384,-0.224612205,0.013248791,-0.148048327,-0.014947124,0.315217275,0.085920694,-0.024818897,-0.105260429,0.005951747,-0.208769211,5
-2.620959666,-0.241721031,1.080600142,-0.207994726,-0.185940788,-0.127596386,-0.054064827,-0.327102622,0.220231903,0.323515241,-0.051320527,-0.05037257,-0.151924069,-0.203000816,-0.092340333,-0.153462517,-0.427530728,-0.227710933,0.031507096,0.267536383,0.129644478,-0.225487301,-0.05565806,0.240400083,0.064304763,-0.127797374,-0.08008556,-0.056041579,-0.093025811,0.090678001,-0.014319839,-0.144521145,-0.08444315,-0.046120948,-0.190324766,5
-3.028880329,-0.898115704,1.055788568,0.22399381,0.229206169,0.088860451,0.467637463,0.262695499,0.02402064,-0.240126725,0.328758469,0.034317018,-0.247589349,-0.028619648,-0.230826224,0.140832476,-0.032330085,-0.106691841,0.28150017,-0.092426856,0.137458132,-0.083655074,-0.077405988,0.107374065,0.184359506,-0.057684808,-0.125828581,-0.011050844,-0.136133581,0.025963314,-0.10572907,-0.145075432,-0.016177649,-0.326573092,-0.114129808,5
-3.052666878,-0.782901893,1.113319093,0.408626838,0.275004739,0.030307908,0.141744614,0.111573744,-0.276513241,-0.23401928,0.309808775,0.111583743,-0.272390942,-0.258859397,-0.00966193,0.306893913,0.014600944,0.094819449,-0.012928691,0.459454426,-0.154935328,0.04665085,0.21240396,0.07121144,0.012121153,0.124231576,0.043561464,-0.225915396,0.005377893,0.055098182,0.145249491,0.207977642,0.151441453,-0.29506584,0.02981973,5
-3.028921446,-1.010594234,1.33371422,0.185955012,-0.167062749,-0.540107406,-0.079422691,0.03657331,-0.051950887,0.059025369,0.198568527,0.107042337,-0.051396886,0.048443663,-0.094759491,0.336045487,0.031197399,0.02569914,0.003019689,0.253333304,-0.182680538,-0.058494114,0.086723343,0.174543086,-0.251087813,-0.119420839,-0.018655273,-0.16251493,0.005113353,0.202198533,0.33081142,0.102404246,-0.164609469,-0.036639362,-0.057807809,5
-2.142802969,1.463144814,0.611034715,0.57103015,0.574891602,-0.046412972,-0.574689442,-1.125281068,-0.219460978,0.048324253,-0.194618907,0.149829221,0.156249016,0.292353693,0.41582769,-0.193291608,0.020317794,0.150786842,0.12387793,0.044177967,-0.048567644,-0.142612196,0.160117595,0.276457475,-0.119872405,-0.20738077,-0.058866253,0.024063407,-0.324713635,0.073069693,-0.53226611,-0.099831694,-0.262419486,-0.227704148,-0.188294072,5
-2.784834912,0.541609446,0.972592372,0.85863522,0.379203127,-0.29174929,-0.219108894,-0.434472053,-0.20584857,-0.097965227,-0.289778461,-0.395093512,0.150260035,-0.298351222,-0.346792441,-0.369417928,0.386382936,-0.025532248,0.003336393,-0.075035741,-0.015396314,-0.057877498,-0.207514904,-0.30494092,0.211573799,0.134416011,-0.067586119,-0.245024417,-0.250947513,0.176411153,-0.102114559,-0.005907953,0.195545301,-0.151097911,-0.316301335,5
-2.875490755,0.204119329,1.001582885,0.65072364,0.424739862,0.078919393,0.23013899,0.001926073,-0.16392768,0.119360499,-0.104009181,-0.127622756,-0.016194617,-0.303594819,-0.164528838,0.010048367,-0.01320086,0.18978783,0.054502264,-0.225291604,0.204320084,0.495691969,-0.138424665,-0.156758035,-0.102732106,-0.12762511,-0.278103242,-0.081040045,0.010210562,0.093287671,-0.008022728,0.26002503,-0.112951649,-0.084657467,-0.348581833,5
-2.869918378,-0.13900932,1.033151583,0.383480151,-0.042922604,-0.451860926,0.173284357,-0.422565154,-0.025335692,0.360645796,0.022642041,-0.240929606,0.17431684,-0.19329638,-0.158575623,0.090359134,-0.180377298,0.160505139,-0.113286569,0.074674558,0.065897197,0.001742685,0.025673749,-0.368697071,0.033664908,0.053013984,-0.07433354,-0.461032959,0.055950273,0.065706944,0.147824212,-0.070430413,-0.017016278,-0.093664384,-0.155625181,5
-2.943027406,-0.698482928,1.261188182,0.181129665,-0.10092354,-0.711470475,-0.168202777,-0.155313756,0.125471353,0.214115113,-0.084255634,0.091598086,-0.115034498,-0.211531023,-0.272639023,0.182218249,-0.058191845,-0.047111663,-0.190262935,0.200469177,-0.159433044,-0.083331617,0.09114424,-0.241133918,-0.026429011,0.08686441,-0.196277493,0.051311004,0.064403428,-0.057121876,0.278273485,-0.121213857,0.1149208,0.022954331,-0.26638462,5
-3.032005971,-0.662029497,1.210013355,0.543368888,0.052574378,-0.696857765,-0.064894415,-0.243714734,-0.175998326,-0.236488296,-0.045759156,-0.040281902,0.004838899,-0.470562052,-0.430409233,-0.053443965,0.114113285,0.017950053,0.014996081,-0.130385236,0.069563442,-0.409207193,0.070016771,-0.070255931,0.170369792,0.100783434,0.005069916,-0.060796553,-0.072843455,0.17678057,0.388830316,0.229708682,0.058782952,0.025819886,-0.008151609,5
-3.056450872,-1.218128622,1.301450832,0.231232081,-0.094652347,-0.560815739,0.06084509,0.272701213,-0.145711549,-0.272218934,0.162967334,0.058769143,-0.013173451,0.164811867,0.046546207,0.52155964,-0.055894476,-0.042262877,0.23139191,0.110420253,0.179220241,-0.037557071,-0.231310109,-0.058137452,-0.068945321,-0.148567249,-0.244186736,-0.119803355,-0.034034994,0.124509472,0.072388119,0.145737506,0.271243201,-0.014288187,0.005228376,5
-3.087462718,-1.390118853,1.444258788,0.196889127,-0.126461987,-0.708918802,-0.092044524,-0.072174264,-0.154966853,-0.156132359,0.064280397,0.329738951,-0.04433418,0.319753679,-0.247662474,0.225545098,-0.107070483,0.085692728,0.335103444,0.051247041,0.190301927,-0.355500906,-0.086724832,0.184337535,-0.07625884,-0.077315478,-0.080891912,-0.079660417,-0.075129742,-0.01092331,0.027639658,-0.02151566,0.062649621,-0.083130296,0.101099803,5
-3.019335598,-1.105755477,1.299498408,0.194276753,-0.137132739,-0.693419734,-0.016290212,-0.013334575,-0.217736965,-0.196201086,0.054247541,0.413618661,0.064362897,0.07082195,-0.134142033,-0.010354206,-0.074538301,-0.055315242,0.027605046,0.056744662,-0.217226524,-0.469064932,0.050187377,-0.17159543,0.019594733,0.003455885,0.065289286,0.130800943,-0.137180395,0.027772039,0.129555321,-0.216493335,-0.1805458,-0.046964441,0.126913925,5
-3.025518015,-1.030225139,1.327034799,0.252933066,0.02645336,-0.439496694,-0.061465492,0.174365679,-0.102144704,-0.057108372,0.076963934,0.413094229,-0.120514973,0.141959296,-0.026019686,-0.075675476,-0.058351206,0.241506916,0.067875432,-0.004721898,-0.053949605,-0.161124255,-0.016620917,-0.156279529,-0.057601041,-0.00690111,0.014773575,0.207198391,-0.046899359,0.142498702,-0.052770052,-0.063277754,0.03937925,0.101750248,0.022757917,5
-2.987114292,-0.884253607,1.270123725,0.345617834,0.078379348,-0.59896922,-0.090977182,-0.072199145,-0.300602062,0.09607995,0.107573133,0.348529076,-0.013372644,0.053926541,-0.047432962,-0.066842966,-0.005852393,0.215257868,0.116455491,0.00363887,0.215529712,-0.221055786,-0.095339787,0.137382585,-0.106697051,-0.162006194,0.128263865,0.252788798,-0.061659823,0.021467542,0.028999525,0.016696656,0.203221865,0.099429007,0.037816055,5
-2.990000502,-0.893870591,1.360097595,0.32923751,-0.031302734,-0.732496949,-0.030724504,-0.24509169,-0.206649349,0.044415018,-0.0640985,0.311545744,0.078357628,0.157428029,-0.083133293,0.160181831,-0.000607605,0.112486002,0.17428912,0.150025013,0.135288674,0.016026725,0.081742027,0.18453858,-0.143529663,0.155716578,0.206032266,0.035645621,-0.106776455,0.040114183,0.071390538,0.045962352,0.269694933,0.057039355,0.077062369,5
-3.045141853,-1.212838031,1.356485638,0.183461507,-0.044925171,-0.591744855,0.136684898,0.042976107,-0.078665447,-0.246847351,0.241968771,0.170454213,-0.121984439,0.202643147,-0.325424057,0.278660383,-0.086286236,-0.107376777,-0.210737045,0.498442737,-0.120377414,0.043609596,-0.067814946,0.055048695,0.047776946,0.152469837,0.136495315,-0.025332408,-0.128695447,0.292492015,0.131755446,0.059046939,0.118602943,0.068556781,-0.124547991,5
-1.240190461,1.641166548,-0.154622282,0.539335762,1.186518634,0.909018563,-0.736499201,0.444056737,-0.033403038,0.325854697,-0.063330631,0.18193116,-0.661087611,1.181444425,0.346278755,0.398324054,-0.459369098,0.056640654,0.071235735,0.105478603,-0.063892331,-0.274817767,0.115939485,0.264461962,-0.047033283,0.36778961,-0.182818608,-0.186174894,3.69E-05,0.058771769,0.833965215,-0.149591865,0.370268683,-0.504770097,-0.093547646,4
-2.716739112,1.021175694,-0.105822001,1.065219089,1.181637795,0.787266363,-0.295317178,-0.040729923,-0.643448269,-0.080913993,-0.178816202,-0.146962471,0.011332694,0.408129649,0.251097161,0.110533097,0.423181155,0.098297075,0.060871463,0.023510123,-0.16311328,-0.279351622,-0.086839521,-0.158124469,0.25235553,-0.016696262,-0.125474798,-0.098829535,0.031758011,-0.066549436,0.128863515,-0.155959622,0.272582992,0.003728791,0.178681192,4
-2.88575428,0.264667013,0.271631399,0.808339963,0.876108124,0.715287885,-0.156018831,0.259577288,-0.482614678,-0.042324789,0.029359079,-0.185739232,-0.342137342,-0.042638505,-0.135988486,-0.063365065,0.373577679,0.212083259,0.111202124,0.160663365,-0.147288771,-0.124224118,-0.214667143,-0.017732635,0.413926316,0.145226295,-0.058124648,-0.3870381,-0.051018284,0.133951274,0.217360669,-0.212083326,0.275758598,-0.257131545,0.045979591,4
-0.510887574,1.654171009,-0.450186653,-0.217407013,-0.462384628,0.783051899,0.110885122,0.204367313,0.739724193,-0.110873448,-0.008363465,-0.480749961,0.105092431,-0.070316955,0.277616917,-0.030879237,-0.624387123,0.046353021,0.283233144,0.247004011,0.036165326,-0.760457466,-0.055796089,-0.472907878,-0.032538159,0.36771299,0.288327736,-0.112989012,0.267063161,0.182201719,0.006307192,-0.183166623,-0.542109921,0.458823558,-0.394816383,4
0.009039831,2.23170696,-0.698266696,0.009699111,-0.034514972,1.140163977,-0.319940549,0.466268739,0.048737171,0.074208355,-0.163304984,-0.158328774,-0.145855438,-0.112117806,0.16824412,0.033318679,-0.510365606,0.211618014,0.246407046,0.315651941,0.071135873,-0.406515674,0.038511756,-0.170881812,-0.067918799,0.351061584,0.19321106,-0.110207354,0.196718251,-0.025907331,-0.042794235,-0.127538122,-0.26434356,0.264982266,-0.205212097,4
-1.033111907,1.807836484,-0.781275599,0.218040366,0.960899635,1.154624015,-0.836295267,0.21418814,-0.539459696,0.252737996,0.262271077,0.257506332,-0.333084336,0.568840124,0.475948488,0.150878872,-0.310800345,0.492776471,0.127619163,0.435478009,-0.263768452,-0.447745524,0.052943199,0.417659085,-0.1588467,0.312187443,-0.138189241,-0.197231194,0.150359519,-0.064873632,0.2063702,-0.281027254,-0.193615722,-0.303233471,0.036272406,4
-2.471700625,0.911259173,-0.60698141,0.461017909,0.831228377,0.748411359,-0.514561175,0.317856274,-0.332687281,0.009854618,0.070130088,-0.064744296,-0.26342742,0.496684761,0.288660955,-0.013315466,0.134408438,0.275867119,-0.027965601,0.058145787,-0.348922925,-0.477549507,-0.400745238,0.08019048,-0.09992282,-0.098155161,-0.310314038,0.129383079,0.330695173,-0.051424177,0.239113257,-0.070841719,-0.09995631,-0.068034146,0.245166149,4
-2.905534246,0.359082616,-0.379294806,0.826025943,0.965120145,0.80320583,-0.421415784,0.261865096,-0.700198618,-0.146192723,0.069200737,-0.040549928,-0.215063434,0.120426568,-0.008802158,-0.185388637,0.161905707,0.505762101,0.070535095,0.179042732,-0.239105254,-0.280704026,-0.264523773,-0.156368028,0.392964943,0.042992921,-0.374537757,-0.266078038,0.265699889,0.052979502,0.046466842,-0.247992021,0.170624157,-0.126666321,0.141363251,4
-3.080768265,-0.414662778,-0.106266975,0.453138416,0.524095811,0.403300391,-0.266716951,0.372163439,-0.356519373,-0.145429377,0.143575934,-0.192359486,-0.244626782,-0.009615114,-0.181429205,-0.061369621,-0.174929845,0.271125002,0.130405554,0.288235831,-0.059422159,-0.04794074,-0.474391509,-0.034325711,0.230839635,-0.098886494,-0.448625802,-0.16469354,0.505483064,0.22833954,0.078637342,-0.102476591,0.610555187,-0.128685015,0.13976962,4
-3.132347748,-1.292536493,0.100955632,0.04248435,-0.066900873,0.117807713,0.1167342,0.567972597,-0.424208125,-0.255919089,0.30890614,0.180441337,-0.165593383,-0.034392802,-0.079856578,0.031444905,-0.13194466,-0.139430906,-0.113697721,0.153185837,-0.057285564,-0.256290151,-0.46427594,0.170454006,0.107533611,-0.212696816,0.041267729,-0.447312583,0.340714735,0.207913673,0.230856002,-0.308675401,0.055850662,-0.144293634,0.28214523,4
-3.127984495,-1.191765929,0.179586331,0.078773817,0.116393416,0.270752861,0.122720975,0.639510217,-0.268844149,-0.124593705,0.062196644,0.429736788,-0.215329545,-0.165901853,-0.005039298,-0.012975598,-0.282529554,0.289182413,-0.050581343,0.250165322,0.01417346,0.158246889,-0.225663179,0.1567198,-0.151584983,-0.162203887,-0.296350542,-0.127784087,0.255356628,-0.216265971,-0.009899514,-0.381152032,-0.019867095,-0.021473864,0.052160392,4
-2.324100641,0.971104537,-0.009322015,0.657474938,0.571403661,0.175847892,-0.285237359,-0.230597467,-0.359815744,-0.57649572,-0.1378125,-0.585517166,0.134427089,-0.199314596,-0.075587969,0.108670639,0.322674501,0.102955479,0.21359686,-0.067184084,-0.081109559,-0.534876946,-0.066979071,-0.103701278,-0.103799819,0.138410312,-0.333894671,0.101933071,-0.086799336,0.139761332,0.046953671,-0.113402439,-0.150188019,-0.08716583,-0.345833411,4
-2.565741333,0.455727071,0.180570115,0.422143626,0.362859092,0.396526241,-0.280405326,-0.236364525,0.017030136,-0.478092246,0.057791658,-0.967805954,-0.02226177,-0.324629181,0.071102472,0.389052389,0.433967728,0.026094721,0.332867877,-0.089778513,0.138507416,-0.249315672,0.193423541,-0.038585622,-0.043683049,-0.145018637,0.140519654,0.133849028,-0.058914957,0.181435913,0.282037114,-0.176894876,-0.134289083,0.065680494,-0.32924228,4
-2.808583605,0.009526279,0.320434707,0.404171075,0.205068674,0.070928466,0.328132046,-0.154946399,0.222993955,-0.415889522,0.319259703,-0.54012404,-0.201252966,-0.40444433,-0.405162331,-0.263087151,0.301677983,0.263357848,0.135773767,-0.189787609,0.013151178,-0.358685345,0.108436372,-0.132351799,0.348572262,0.180183294,0.265081619,0.120274339,-0.201028037,-0.05646034,0.181409874,0.085416263,0.085733937,0.182712451,-0.477141793,4
-2.927375985,-0.536323383,0.504217546,0.187763184,0.293393702,0.500055733,0.163264528,0.240583948,-0.182068905,-0.518545963,0.265385415,-0.06346875,-0.157087391,-0.488562295,-0.219344769,-0.098149352,-0.025794165,0.559828052,0.067329131,-0.145245631,0.284197118,-0.252219385,0.239975702,-0.127463578,0.207070669,-0.020634095,0.203940279,0.194947233,0.006100137,-0.075449449,0.214302396,0.084033243,-0.070049007,0.255289729,0.073066779,4
-2.946129556,-0.529673905,0.543182963,0.222194833,0.330451758,0.313927013,0.148091905,0.291557729,-0.387399883,0.123667109,0.212635175,-0.053918842,-0.145559259,-0.468162625,-0.074630786,0.102213044,0.012336473,0.457180583,0.139066767,-0.023934512,0.293679683,-0.29385379,0.185923792,0.050099299,0.07465591,0.00428778,0.101512011,0.119257224,0.040301911,-0.095789437,0.141573804,0.114936638,-0.033621712,0.009625645,0.180122257,4
-3.017557946,-0.277796342,0.402362141,0.574721048,0.385493962,0.310122804,0.094064606,0.255287011,-0.69709706,0.017317294,0.157884269,-0.461109955,-0.010910428,-0.353985174,-0.051531702,0.050967515,0.177936286,0.007839013,0.063912767,0.013684332,-0.035134034,-0.478347853,-0.090725941,-0.020023762,0.120666821,-0.01981186,0.113500807,0.032972172,0.094926629,-0.009763348,0.27871835,0.136331675,0.055481435,0.164168039,0.031612426,4
-3.030979431,-0.294197569,0.456404132,0.594823987,0.519898512,0.556064161,0.15210718,0.302185866,-0.806215322,0.201902337,0.166653862,0.034848344,-0.097323978,-0.315439732,-0.132928197,-0.053604845,0.083030417,0.155326103,0.015704831,0.04405943,-0.228251786,-0.127285455,0.079209224,-0.023736823,0.078580428,-0.27714322,-0.046944439,-0.042062785,0.176201704,-0.12007205,0.130385503,0.032479552,-0.06715737,0.062597658,-0.068469709,4
-3.043193536,-0.612819559,0.715990216,0.361464579,0.163380171,0.19947225,-0.05075765,0.482171852,-0.423894731,0.261470401,0.176882632,-0.21135171,-0.089313762,-0.105887782,-0.057528102,0.099272349,0.199810051,0.217621348,-0.111968459,0.262909586,-0.050084986,-0.242729758,-0.087201231,0.104709903,0.201028625,-0.071099713,-0.159168277,-0.078824353,-0.027162751,-0.093753714,0.198753733,-0.053461717,0.062361753,0.258515872,0.038190399,4
-3.063522692,-0.719032073,0.702842862,0.31007652,0.169990035,0.20119336,0.131297655,0.468749666,-0.443659821,0.195098533,0.34118927,-0.198979208,-0.192919254,-0.19626325,-0.042074421,0.159938637,0.202327755,0.016816916,-0.188112868,0.208110483,-0.032712926,-0.158304596,0.042759505,0.341979479,0.077557346,0.080728249,0.050844182,0.149345686,0.085836339,-0.004777623,0.371580412,0.209296984,0.059107258,0.473639246,-0.115907669,4
-3.046087463,-0.708824407,0.659280074,0.240103596,0.121960811,0.248520685,0.335786189,0.421941528,-0.232873273,-0.15871009,0.277001049,0.107578401,-0.069832137,-0.148075969,0.241775019,-0.044633082,0.226978992,0.027973635,0.004842809,0.096430695,-0.191227788,0.113475526,0.251777303,0.238843307,-0.173294972,-0.259282177,-0.027144671,0.062458018,0.185007909,0.001187076,0.320688095,-0.027444839,-0.196736714,0.095946891,-0.040695108,4
-3.037554008,-0.673446394,0.654918198,0.225840216,0.220466057,0.498809379,0.0727939,0.449678544,-0.254066304,-0.355462148,0.340417116,0.106564404,-0.218194772,0.030455932,0.208353711,-0.025862074,0.096167152,0.350923114,0.194604781,0.092604046,-0.161052249,-0.324541692,0.179043644,0.311327443,-0.314485465,0.036555423,0.162542531,-0.196886584,0.07654417,-0.200771252,0.031795549,-0.103837337,-0.304278004,0.172020868,-0.014984201,4
-3.039246526,-0.513357798,0.528702333,0.392411642,0.309938808,0.365071495,0.049856762,0.246008539,-0.463677809,-0.079387155,0.30403291,-0.072598291,-0.071915891,-0.019029787,0.365300335,0.082534213,0.22887145,0.228212543,-0.015120759,0.162268793,0.245698888,-0.323428631,0.105221886,0.225254049,-0.261346872,-0.067331346,-0.001425928,-0.133073489,0.233023006,-0.047133022,0.061231096,-0.249932149,-0.261657668,-0.004672195,-0.014891756,4
-3.08297815,-0.674453942,0.737865772,0.368273637,0.33285034,0.561134115,0.357363449,0.344646478,-0.539232266,-0.140791942,-0.021767898,0.360167412,-0.167124649,-0.039600011,0.055550994,-0.016081957,0.083545227,-0.312059462,-0.266715785,0.085216385,0.121861264,0.151368661,0.349423306,0.20660812,0.203269384,0.01180694,0.035318646,0.009497627,0.195211596,-0.155412082,0.246625724,-0.122212687,-0.196897998,-0.067594241,0.150159119,4
-1.791205656,0.885598239,-1.928808987,-0.639556407,-0.295280503,0.421315095,-0.325274382,-0.13710226,0.230146447,0.348053988,-0.106751409,-0.350439811,0.249540249,-0.095467523,0.100128765,-0.669017339,-0.13792456,0.017901845,-0.445756949,-0.066051382,-0.41809326,-0.506691553,0.167474134,-0.215077226,-0.008823086,0.036077028,-0.091305806,0.118767412,0.348187472,-0.117190462,0.04615499,-0.469512412,-0.406001486,0.280121133,-0.015810833,6
-2.923796918,-0.133769722,-1.405590925,0.227530062,0.007510279,-0.000503892,-0.368329473,0.189511203,-0.367334813,0.023551592,-0.439988232,-0.747894183,0.489073657,-0.494977018,-0.242395108,-0.012961293,0.298841078,-0.124064189,-0.305878977,-0.131456905,-0.188817571,-0.081315272,-0.294168543,-0.282981978,-0.177397248,-0.397403505,-0.220020531,-0.205069892,0.005971538,0.346306327,0.21909453,-0.075746966,-0.29032596,0.009141793,0.069258081,6
-3.142714398,-0.762557045,-1.232306413,0.126662512,-0.265412921,-0.254176924,0.148301877,0.287417944,-0.167434858,0.005643433,0.011193243,-0.488623377,0.33282284,-0.153711081,-0.431276035,-0.556787462,-0.172977445,0.114287595,-0.228048678,0.070665376,-0.305223529,-0.331657363,-0.163560649,-0.473709014,0.386140118,0.101948229,0.195991295,-0.062959324,-0.318388674,0.405809157,0.044740776,0.256673698,-0.092442303,0.233862112,-0.192574239,6
-3.324048506,-1.197926011,-0.877124716,0.226626323,0.141842043,0.056982377,0.028704239,0.723835943,-0.341834096,-0.318062045,-0.368304577,-0.1180172,-0.044006909,-0.617299415,-0.413940714,-0.128002796,0.011492546,0.021947475,0.037465513,0.280818615,0.062972324,-0.011587492,0.067777783,-0.240619329,0.187988242,0.198176442,0.062061815,0.093077212,-0.267907524,0.021437746,0.07225846,0.197767494,-0.042826997,-0.017593204,-0.223559939,6
-3.329809676,-1.365102258,-0.815792388,0.088014686,-0.25265245,-0.306121646,-0.007587475,0.589624339,-0.058097437,-0.376168566,-0.172939334,-0.151784637,0.219791793,0.075874344,0.112232407,0.003784598,0.13619686,-0.060408275,0.219130163,-0.072714499,-0.157978241,-0.171182749,-0.133848899,-0.120729653,0.00587085,0.171721321,0.128877506,-0.085310968,-0.046620886,0.00965498,0.193383664,0.118676256,0.028186107,0.012890948,-0.001779778,6
-3.271102151,-1.576101345,-0.774960518,-0.088269679,-0.293123355,-0.527324016,-0.083403104,0.472513095,-0.04066271,-0.395503418,-0.297971834,0.436681056,0.16454551,-0.020500661,0.114757999,-0.114577032,-0.016340914,-0.086491745,0.134596131,-0.200821789,-0.275724685,-0.142604127,-0.021097488,-0.19975568,-0.111891098,-0.019956737,-0.000624905,0.043465806,-0.1896613,0.052309743,0.057896255,0.137619021,-0.173821064,0.075053118,-0.096407679,6
-3.250457871,-1.366118477,-1.003825894,0.016811509,-0.307335725,-0.301777652,0.162326335,0.50702873,-0.249794119,-0.443400433,0.06686375,-0.099271471,0.107527695,-0.174470712,-0.165112986,-0.31843527,0.036891612,-0.10344745,-0.199245805,-0.253618747,0.111857029,-0.589898725,-0.189786834,-0.101711694,0.332849534,0.169806603,0.314147394,-0.043657691,-0.081448303,-0.00389166,0.148261186,0.256826361,-0.05366596,0.177677804,0.072058203,6
-3.315901058,-1.296510693,-0.843052243,0.136591065,-0.364181522,-0.320560383,-0.018596851,0.600171993,-0.137179789,-0.228434079,-0.16047946,-0.235884936,0.212139216,0.069414345,0.115602877,0.034007075,0.293694948,-0.238771008,-0.056353466,-0.051800181,0.01502545,-0.212550213,-0.189265767,-0.036439566,-0.075875115,-0.018990203,0.13654931,-0.032412778,0.001814646,-0.144942909,0.259177956,0.112284576,0.010677973,0.200342258,0.032812599,6
