id,Feature_One,Feature_Two,Feature_Three,labels
82,5011,3987,4983,67
83,4003,1007,1,68
84,18,1993,5005,11
85,3976,4011,2996,69
86,4990,995,2977,70
87,2972,4054,3008,9
88,4986,3004,12,5
89,2026,1024,998,64
90,5013,4047,8,71
91,3980,4995,4983,72
92,16,982,3952,73
93,2000,997,2980,34
94,5002,20,14,74
95,4046,3989,9,75
96,2046,2,1980,76
97,2928,14,3023,77
98,4998,8,998,78
99,4972,1024,5012,6
100,3015,1968,1013,60
101,5020,1005,4019,79
102,2006,994,2018,80
103,2011,5002,4997,81
104,8,21,2993,82
105,1013,1000,999,83
106,3019,3999,37,84
107,1003,3994,3014,85
108,986,4015,5010,86
109,2007,1997,21,52
110,0,2962,4985,87
111,3993,19,27,4
112,2001,4974,3,88
113,3988,1996,3947,89
114,3969,3008,4000,20
115,1976,1006,1073,64
116,5003,5010,32,90
117,3021,2983,4995,91
118,2009,23,4021,92
119,3025,3982,4986,93
120,1011,4962,2007,94
121,3994,17,3985,22
122,4004,1018,13,68
123,30,5012,1975,95
124,25,1963,7,96
125,4000,4,39,4
126,1004,3015,971,97
127,3012,2021,4987,98
128,5015,4005,4976,67
129,5005,2003,1981,99
130,996,2018,1975,100
131,2984,1033,1005,101
132,5021,5019,5021,39
133,980,2997,14,102
134,1013,2003,7,7
135,985,1980,4956,103
136,3009,1985,967,60
137,3967,4998,3951,104
138,5,3969,1026,15
139,1958,30,4011,92
140,1020,2018,983,105
141,5000,4993,43,90
142,4002,5016,1987,106
143,2007,1003,18,8
144,5019,3050,2054,107
145,13,1977,3975,108
146,4020,3016,15,109
147,1,1001,1016,110
148,5017,5009,3988,111
149,998,3027,11,102
150,2004,3010,2996,19
151,2,2992,4022,112
152,4967,982,2967,70
153,5,1010,4013,73
154,1992,1001,4981,28
155,1983,1974,3,52
156,3991,5039,1004,113
157,2986,2001,4017,44
158,1983,982,1028,64
159,4022,3950,4979,114
160,2969,2009,5021,98
161,974,1984,996,105
162,1983,4019,2,115
163,3991,987,2969,116
164,5001,4992,2993,117
165,13,2032,4979,11
166,24,1000,5002,118
167,2023,3991,5011,119
168,3985,4979,2020,106
169,33,994,2013,120
170,1978,4011,2030,121
171,2027,15,4004,92
172,3993,5007,997,113
173,10,1006,981,110
174,2001,1005,3042,34
175,6,4016,3027,122
176,989,4979,1992,94
177,3994,2017,5000,123
178,1988,3967,5006,119
179,1996,1992,9,52
180,4978,1010,2009,124
181,1013,3023,1007,97
182,25,5018,1009,125
183,2011,5027,1,88
184,5018,1981,2996,126
185,3,2990,8,127
186,5001,3996,5043,67
187,4945,34,5002,128
188,1011,2021,3023,37
189,950,5030,2009,94
190,4988,4022,4998,67
191,4998,2978,2993,129
192,987,5003,5013,23
193,1,4999,5015,130
194,2002,3983,59,115
195,1970,4000,34,115
196,2991,1002,1983,12
197,4995,5018,4990,39
198,4006,5001,1031,113
199,2011,980,3972,131
200,46,988,4030,73
201,4009,4001,4981,114
202,3039,1017,1998,12
203,2980,28,5009,132
204,18,3009,1980,133
205,3017,4988,1019,29
206,1972,4038,3010,134
207,4000,1965,1982,135
208,977,1,32,55
209,1981,4995,1007,136
210,1979,3975,11,115
211,2979,26,4029,137
212,4998,2,5005,128
213,2003,36,3993,92
214,4960,2009,5021,138
215,4982,0,5012,128
216,3007,1979,2998,139
217,5023,0,1980,140
218,4988,1004,5029,6
219,4995,4977,3031,117
220,5016,23,3983,33
221,970,960,4047,2
222,2989,0,13,141
223,3992,1,3000,49
224,1992,2018,1022,66
225,4000,1963,2987,142
226,5,1988,22,96
227,2985,2989,1013,143
228,5003,2018,3027,126
229,3004,2017,5,144
230,1,2021,1033,56
231,1996,1983,3024,31
232,4013,989,3015,116
233,2953,1995,1980,145
234,3995,4021,2991,69
235,2,3982,4995,42
236,24,1001,3029,146
237,1,9,2018,3
238,2003,3998,3020,134
239,2020,2030,2980,31
240,5011,2974,5017,147
241,24,3019,11,127
242,14,12,2980,82
243,52,13,3955,14
244,2009,25,3,148
245,4979,20,20,74
246,2986,1998,3005,139
247,1978,2996,4993,149
248,2001,2007,3982,150
249,8,1007,3001,146
250,966,4009,20,17
251,978,5013,2054,94
252,4026,26,4002,22
253,1991,4024,20,115
254,1999,2997,2981,19
255,39,2,19,151
256,8,4,2997,82
257,4967,17,4020,33
258,4973,4005,3018,21
259,1009,4006,22,17
260,971,2043,1990,100
261,5000,16,10,74
262,2996,5008,993,29
263,5,2992,3998,112
264,3003,4952,2019,152
265,3977,2003,990,65
266,4977,5004,983,62
267,4019,4984,2026,106
268,3982,4005,13,75
269,2027,1021,4976,28
270,3998,1973,2998,142
271,2013,3970,5003,119
272,5034,1964,969,153
273,2011,4967,2055,154
274,4990,983,2978,70
275,1013,2006,5027,103
276,21,2989,39,127
277,1982,1995,1007,66
278,35,3989,4997,42
279,2001,42,995,155
280,3000,999,987,101
281,4994,5025,4011,111
282,3004,1955,988,60
283,2000,1016,980,64
284,3031,6,4987,132
285,1995,959,3999,131
286,1022,3010,4982,13
287,3991,3050,4996,156
288,3044,1033,6,157
289,3977,3012,5,109
290,4025,4988,10,158
291,1033,44,4034,159
292,4968,4997,42,90
293,4993,13,4998,128
294,5022,3991,2024,160
295,5022,3025,4022,161
296,0,1028,2046,120
297,981,3985,24,17
298,6,995,4995,118
299,3009,33,10,141
300,6,975,2971,146
301,3980,3007,992,162
302,988,4,4976,163
303,4970,4972,1003,62
304,2969,4015,4998,93
305,1984,1970,11,52
306,5008,5006,4029,111
307,4000,5024,2985,164
308,3005,23,13,141
309,1017,29,1037,165
310,973,5010,2022,94
311,5003,4977,2997,117
312,988,983,3997,2
313,5031,5023,4972,39
314,3010,3001,2030,10
315,996,1000,4006,2
316,1988,990,10,8
317,18,1972,1991,0
318,4017,1006,4023,166
319,3995,1009,3007,116
320,5,2002,1003,56
321,1011,8,2983,167
322,1994,3006,2997,19
323,3029,997,1021,101
324,3018,1013,3022,26
325,982,981,3954,2
326,4966,5004,1,90
327,980,4015,991,168
328,3046,4001,2997,9
329,31,2978,5035,87
330,2,1015,4979,118
331,984,5,2013,59
332,1020,1991,980,105
333,3,2036,5020,11
334,1026,1990,12,7
335,4008,20,5006,169
336,2995,2009,1974,145
337,5042,2035,4981,138
338,3013,3015,4972,91
339,2004,3020,3994,170
340,4988,4015,1985,160
341,968,5014,5012,23
342,5016,47,992,78
343,48,2027,4989,11
344,2991,2998,2006,10
345,1975,11,2,148
346,29,2977,2007,133
347,2953,3964,1017,171
348,4977,3,4958,128
349,1985,4994,34,88
350,1001,997,26,38
351,8,12,3028,82
352,3980,4040,23,75
353,3994,972,2008,27
354,1986,5008,7,88
355,2004,4020,55,115
356,2990,4979,1029,29
357,17,3996,35,40
358,997,3008,3014,1
359,5015,3996,5035,67
360,3005,5003,2025,152
361,1025,3002,2945,1
362,3018,4015,12,84
363,3000,2991,3011,172
364,2980,4021,4991,93
365,43,1991,1977,0
366,2991,6,5003,132
367,4027,2036,5024,123
368,12,982,21,173
369,1003,5007,2016,94
370,3994,35,2973,49
371,960,3976,1007,168
372,1996,1026,1989,80
373,3976,1018,3988,166
374,38,4970,1025,125
375,1008,4991,4992,23
376,3986,4989,3008,164
377,1004,5002,15,51
378,4000,2019,3042,142
379,3,3999,2995,122
380,3963,20,984,174
381,3004,1002,27,157
382,5017,3,1009,78
383,15,1027,1001,110
384,3981,989,1999,27
385,4967,3994,3011,21
386,4991,4,1010,78
387,4009,4031,3027,69
388,3969,3958,997,175
389,1972,4986,11,88
390,3035,16,1022,176
391,17,1977,41,96
392,981,2026,1969,100
393,4988,5023,1,90
394,977,4960,5033,23
395,17,4996,1974,95
396,994,4991,5001,23
397,5006,4005,2019,160
398,16,1018,1988,120
399,4992,4995,1002,62
400,18,4,996,54
401,4014,2005,3976,89
402,2978,20,2987,77
403,2036,2009,31,52
404,1000,1040,4002,2
405,5031,997,2000,124
406,962,4987,5007,23
407,2019,5013,29,88
408,3975,4013,4995,114
409,2,994,2988,146
410,3956,982,4002,166
411,2983,1974,3012,139
412,1997,985,26,8
413,3989,3996,1982,32
414,2,4,1037,54
415,1,3015,4992,87
416,2018,2025,1969,46
417,982,2006,27,7
418,1966,2005,3989,150
419,5024,2015,1993,99
420,4035,11,3012,49
421,4970,3026,17,5
422,39,1011,2998,146
423,1020,2001,2974,37
424,4019,21,4001,22
425,1012,4979,3964,177
426,16,40,42,151
427,2938,3980,1029,171
428,4,9,4997,30
429,5,4,7,151
430,16,4030,1001,15
431,4987,11,5,74
432,2009,3032,3022,19
433,3,4036,0,40
434,5001,5008,24,90
435,0,997,1986,120
436,2952,1993,5002,98
437,981,5037,2043,94
438,8,2987,10,127
439,962,5,2020,59
440,4021,4003,3039,69
441,14,1976,3016,178
442,1006,2992,3030,1
443,5032,1977,2024,99
444,2999,9,1986,179
445,4993,988,2016,124
446,4022,3,2012,25
447,9,981,2992,146
448,0,991,3007,146
449,5012,1991,989,153
450,4021,993,4989,180
451,3011,990,4995,181
452,1987,2987,979,57
453,2,3988,2982,122
454,3989,2,7,4
455,4003,2013,3003,142
456,1022,2999,1012,97
457,16,32,4033,14
458,3990,16,30,4
459,5012,3001,4990,147
460,2996,4036,20,84
461,6,4982,30,182
462,31,24,28,151
463,5029,3949,4980,67
464,3007,11,21,141
465,4997,1949,3964,183
466,1969,3018,4017,170
467,3982,4985,2019,106
468,20,3021,2992,43
469,20,43,4020,14
470,988,13,5004,163
471,27,5032,17,182
472,1971,5003,14,88
473,3006,12,1969,179
474,4985,4,2993,184
475,5048,2963,1,5
476,2998,4001,4037,45
477,5005,1988,34,185
478,3001,994,5010,181
479,1958,3951,47,115
480,3018,1004,13,157
481,3035,2971,10,186
482,2000,3954,38,115
483,2027,5021,4021,187
484,3997,26,4004,22
485,4972,4996,1982,188
486,5000,3,2985,184
487,2032,994,5015,28
488,2003,13,3995,92
489,1017,4018,1004,168
490,984,39,2997,167
491,972,2995,17,102
492,4986,1000,1979,124
493,5019,4002,4019,50
494,974,2027,2005,100
495,4041,5005,3978,104
496,952,16,3980,159
497,17,2012,4991,11
498,8,20,2029,3
499,3986,4959,7,158
500,4998,17,12,74
501,987,4007,5019,86
502,5013,5055,4012,111
503,4001,3,4020,22
504,3970,1966,5006,123
505,4005,2988,2973,189
506,993,2045,1016,105
507,28,27,4000,14
508,6,1025,3973,73
509,9,3015,4982,87
510,1985,5027,995,136
511,1996,5023,7,88
512,5010,1011,4016,79
513,3004,989,4990,181
514,1993,22,2982,190
515,3967,16,2016,25
516,17,3990,2039,63
517,3056,9,3997,137
518,25,2017,1977,0
519,3963,3972,2999,69
520,4973,2996,1015,53
521,2,4019,996,15
522,28,3983,6,40
523,2995,3993,5000,93
524,984,31,4985,163
525,2966,4013,1979,191
526,3990,4973,2026,106
527,14,4979,962,125
528,11,3962,1058,15
529,2990,3978,994,171
530,10,4009,3984,35
531,5032,1005,4972,6
532,998,4003,13,17
533,4049,3010,1011,162
534,32,1017,4987,118
535,23,5010,2981,58
536,6,1002,4998,118
537,3995,2020,4045,89
538,5020,1974,3,185
539,960,2008,15,7
540,10,16,3980,14
541,1023,2996,5017,13
542,4975,997,32,192
543,5040,1015,2002,124
544,4963,4988,2012,188
545,1028,1032,3990,2
546,4004,2053,4025,89
547,2980,4981,1950,152
548,991,4975,4989,23
549,4975,5033,3981,111
550,1004,4986,5019,23
551,3,7,5,151
552,5000,9,5010,128
553,25,6,3994,14
554,3996,15,2034,25
555,5045,2028,4989,138
556,997,5010,4008,177
557,8,15,28,151
558,2974,2021,1027,60
559,1021,4017,2002,193
560,2980,998,2983,26
561,9,6,1027,54
562,4000,23,4005,22
563,984,3987,4978,86
564,1993,3002,2982,19
565,1008,4012,12,17
566,49,4002,968,15
567,2002,6,3985,92
568,3016,3992,3979,45
569,3006,4975,2995,194
570,2022,5032,3006,195
571,1002,1010,993,83
572,3997,2998,2970,189
573,4001,4012,2998,69
574,1993,17,10,148
575,3961,5005,6,158
576,963,28,2982,167
577,3996,1996,1008,65
578,3998,991,4985,180
579,3990,3993,14,75
580,4010,3979,995,175
581,4998,18,3997,33
582,1004,2002,3982,196
583,996,3,1034,165
584,2997,5008,1009,29
585,977,993,3000,197
586,1990,2019,5001,198
587,1980,2970,3989,170
588,3986,7,5,4
589,2038,973,4945,28
590,6,1009,4995,118
591,1985,5012,2018,154
592,2993,2000,1992,145
593,967,2993,5015,13
594,12,5000,1002,125
595,19,2984,4982,87
596,27,5018,3026,58
597,5029,5025,1015,62
598,17,3981,3982,35
599,1004,2969,8,102
600,1993,1035,3977,131
601,5009,996,5002,6
602,28,5016,36,182
603,4975,993,1969,124
604,30,1982,4996,11
605,2000,3997,5006,119
606,2987,1992,2000,145
607,4998,2,1003,78
608,4029,5007,3005,164
609,5003,3004,2972,129
610,3002,3994,3029,9
611,2993,4996,28,199
612,982,4,15,55
613,4016,4967,3985,104
614,4990,22,2993,184
615,3008,2020,31,144
616,2992,4038,2978,9
617,2991,4986,3031,194
618,40,3016,2013,133
619,3005,2017,7,144
620,5012,4981,2,90
621,22,1027,1035,110
622,7,3000,1027,200
623,2998,21,3040,77
624,3968,988,1997,27
625,2014,955,1007,64
626,3998,12,3016,49
627,1950,31,3991,92
628,9,3984,1988,63
629,4036,1020,3973,166
630,4965,4983,4019,111
631,4990,1026,10,192
632,1993,1000,2993,34
633,3038,4993,3021,194
634,1997,950,2998,34
635,1008,4016,5001,86
636,3,7,5025,30
637,986,991,4994,201
638,3015,1989,2014,145
639,3002,2968,4031,202
640,4001,4006,1024,175
641,950,1980,5013,103
642,4030,997,2976,116
643,3976,1982,1970,135
644,1017,2998,4997,13
645,1014,3982,9,17
646,4998,18,4033,33
647,23,4993,2994,58
648,988,5011,6,51
649,28,4022,51,40
650,2981,2039,2980,139
651,4033,2000,4013,89
652,5015,4984,25,90
653,1017,1027,3023,197
654,1998,28,1,148
655,5008,4010,2987,21
656,2025,11,1990,76
657,4987,1990,981,153
658,2993,1990,1993,145
659,1999,995,3995,131
660,4010,4033,16,75
661,15,2998,1987,133
662,4983,2005,1003,153
663,2998,2004,4990,98
664,3045,21,2968,77
665,3000,5018,3017,194
666,2974,2012,2,144
667,57,39,1997,3
668,1039,16,13,55
669,1042,8,3971,159
670,1039,1015,4032,2
671,21,3996,1006,15
672,2013,2955,3020,19
673,988,24,0,55
674,999,4975,4022,177
675,2993,5018,14,199
676,1025,5002,3963,177
677,47,1010,4027,73
678,2003,5005,1985,154
679,4976,1020,8,192
680,3,2028,980,56
681,3999,2995,3014,189
682,42,3023,3041,43
683,3983,4018,2030,32
684,5001,2976,3001,129
685,979,4020,3005,85
686,2,5014,2018,95
687,1024,5001,3022,24
688,2001,22,2980,190
689,4943,2001,3984,183
690,4969,5007,10,90
691,4000,19,5039,169
692,3008,1029,4992,181
693,9,997,5017,118
694,4987,3970,5011,67
695,4004,2964,29,109
696,4028,3999,1973,32
697,4014,4983,1015,113
698,5010,5010,4014,111
699,8,986,3007,146
700,1,31,3009,82
701,5017,44,2985,184
702,987,3000,5009,13
703,7,1008,1010,110
704,2979,2999,2008,10
705,1994,26,3977,92
706,3962,4001,4973,114
707,3975,1021,1004,16
708,3993,4025,1005,175
709,3018,994,5005,181
710,4971,2975,3997,161
711,3011,997,5014,181
712,4009,4022,1999,32
713,4990,3997,17,71
714,2012,1012,1002,64
715,4033,5016,4983,72
716,993,1980,4014,196
717,2049,3992,2995,134
718,971,2991,4978,13
719,3982,2959,996,162
720,10,2985,3020,43
721,2983,6,4978,132
722,9,5013,17,182
723,14,1000,1985,120
724,9,2993,2018,133
725,4011,2999,21,109
726,4967,9,1007,78
727,2984,2015,2996,139
728,23,3008,963,200
729,2985,3006,1982,10
730,3975,3987,4992,114
731,4002,2976,5041,156
732,4996,2021,2990,126
733,1977,986,2976,34
734,1986,1995,2992,31
735,4993,8,3996,33
736,1005,1004,22,38
737,994,2991,2968,1
738,3993,15,4985,169
739,1986,2013,4004,150
740,5000,3994,15,71
741,3992,1024,4013,166
742,3972,3017,6,109
743,2018,5032,9,88
744,2016,5025,994,136
745,3943,5001,2999,164
746,3997,10,3026,49
747,1999,2015,43,52
748,3997,3987,10,75
749,2013,3060,2989,19
750,975,5024,3985,177
751,1977,5017,4007,187
752,998,4992,1012,203
753,5020,4007,3007,21
754,1015,4004,1015,168
755,4015,1959,3976,89
756,2008,3025,6,204
757,11,1997,3001,178
758,955,2989,5031,13
759,5009,13,3967,33
760,46,1,12,151
761,2000,5007,3981,187
762,1999,3996,3988,48
763,26,2982,1013,200
764,1007,1,13,55
765,5013,4013,5006,67
766,1022,3981,1013,168
767,1992,2007,4009,150
768,14,1014,19,173
769,5006,3008,1994,107
770,1030,1981,992,105
771,2,1028,1031,110
772,1010,1983,11,7
773,2966,5008,3988,205
774,976,3987,4013,206
775,10,2988,2022,133
776,3969,4991,3989,104
777,5011,1991,1009,153
778,2966,2988,964,143
779,2985,3995,989,171
780,1014,3983,3994,206
781,4968,1007,5008,6
782,3010,5007,24,199
783,1991,3,2000,76
784,3975,3955,5013,114
785,10,30,5002,30
786,2018,1024,1004,64
787,990,2957,5012,13
788,3001,2006,12,144
789,34,16,34,151
790,991,1015,3,38
791,2999,2009,2006,145
792,4,4996,10,182
793,2952,1989,10,144
794,4005,1979,2000,135
795,1016,17,25,55
796,4996,5,4989,128
797,1007,5020,2024,94
798,4995,2997,4975,147
799,2970,4999,1986,152
800,1998,1982,5019,198
801,5001,1007,4053,79
802,3978,971,4029,166
803,963,988,4006,2
804,1025,2982,5004,13
805,3016,3988,5004,93
806,1989,5012,4978,81
807,4988,970,4977,6
808,24,5010,1979,95
809,3017,3981,985,171
810,1010,1017,1014,83
811,4984,3021,3002,129
812,4996,1009,1026,41
813,1986,2976,3991,170
814,4005,4011,3004,69
815,12,1003,3986,73
816,3031,17,2010,179
817,5022,2999,3980,161
818,9,4004,2997,122
819,4975,984,3994,79
820,5017,961,2049,124
821,1007,1016,5012,201
822,4010,2990,3018,189
823,19,2985,4995,87
824,3000,5071,3975,205
825,3005,2998,31,186
826,12,4000,3027,122
827,4991,1005,51,192
828,3010,3992,19,84
829,2973,3005,28,186
830,2984,3016,1007,143
831,2043,4018,1018,207
832,2006,1972,2008,46
833,39,2010,1959,0
834,2002,4997,9,88
835,2952,4955,995,29
836,4065,998,15,68
837,3978,2986,4999,156
838,27,4005,1,40
839,3022,3990,2998,9
840,4999,6,1,74
841,3986,24,1986,25
842,3007,6,4969,132
843,3997,5009,3980,104
844,1000,5014,4997,23
845,1977,3004,15,204
846,3016,1002,4000,208
847,981,4,4020,159
848,996,5017,1996,94
849,25,22,4999,30
850,2992,4973,2984,194
851,1949,4972,3010,195
852,2041,3034,2958,19
853,3993,1980,3027,142
854,14,5011,984,125
855,5004,3960,4999,67
856,4005,1,5000,169
857,4975,1014,19,192
858,2004,1016,982,64
859,5007,3986,4996,67
860,5015,17,1018,78
861,1002,1047,13,38
862,3998,4984,3993,104
863,4031,3998,3968,36
864,2995,14,2993,77
865,4,1992,4996,11
866,1004,3017,2003,209
867,2028,36,985,155
868,2013,4995,6,88
869,4978,5007,5002,39
870,4033,2002,4988,123
871,42,2006,3010,178
872,2013,2009,3947,150
873,3018,2037,4993,98
874,1011,3995,2018,193
875,5017,5037,4998,39
876,2981,5023,5002,18
877,1978,991,20,8
878,4971,4013,33,71
879,1015,24,3023,167
880,2995,1033,1983,12
881,16,5000,6,182
882,18,26,995,54
883,8,1039,5024,118
884,2007,4985,998,136
885,3012,5015,4015,205
886,8,24,17,151
887,1987,1001,4001,131
888,3978,1975,2015,135
889,2024,2003,2990,31
890,3010,1016,4028,208
891,1019,2001,3999,196
892,1985,4026,5023,119
893,1989,2016,4971,198
894,11,1992,3975,108
895,5005,1966,1018,153
896,2984,4953,3937,205
897,36,2008,4991,11
898,5012,2005,5,185
899,1018,0,1023,165
900,1031,1968,7,7
901,4008,2006,3952,89
902,4995,1011,983,41
903,1034,4998,5022,23
904,5025,3003,5007,147
905,992,4003,987,168
906,2968,4969,3013,194
907,4025,3012,3957,20
908,4968,2997,3003,129
909,2030,4020,21,115
910,20,7,5008,30
911,14,1041,5009,118
912,4975,2024,999,153
913,31,1002,1014,110
914,4019,5016,1017,113
915,4974,3002,3984,161
916,4004,4023,4028,36
917,2988,1993,997,60
918,986,978,21,38
919,4005,4994,25,158
920,3968,2993,1994,61
921,4999,1971,2986,126
922,3999,1002,3996,166
923,3008,4012,969,171
924,2029,1012,2978,34
925,4990,994,4021,79
926,3977,4996,31,158
927,5021,5,26,74
928,1020,34,3018,167
929,32,3979,5,40
930,5003,5007,4975,39
931,29,3992,3008,122
932,2988,3007,3967,202
933,2001,997,1990,80
934,2042,2999,2981,19
935,951,1969,13,7
936,3984,3994,1980,32
937,4003,3993,1032,175
938,3988,2985,3006,189
939,4973,3982,5017,67
940,1009,1020,2993,197
941,4992,9,1012,78
942,5002,9,3007,184
943,4019,5009,3016,164
944,1997,5028,1004,136
945,46,1002,1038,110
946,12,968,3989,73
947,3996,4991,1011,113
948,5008,4006,3983,50
949,18,5021,21,182
950,58,4985,5005,130
951,2976,986,4974,181
952,2007,3006,2985,19
953,4004,994,2005,27
954,6,4980,952,125
955,4043,3991,1008,175
956,5003,3013,4009,161
957,998,4980,5003,23
958,1993,2002,9,52
959,2010,3018,4008,170
960,980,5023,2979,24
961,1026,40,3011,167
962,4971,25,1981,140
963,3997,1027,3992,166
964,5009,1989,3016,126
965,3984,2000,1036,65
966,993,4995,3032,24
967,997,1993,2008,100
968,11,3997,4978,42
969,14,4007,4006,35
970,4978,6,3001,184
971,22,2988,4021,112
972,4973,4994,4002,111
973,30,4966,4039,47
974,4015,3996,36,75
975,2977,949,1025,101
976,5004,4034,3012,21
977,2011,3946,975,207
978,4998,21,1007,78
979,1,2012,5028,11
980,4993,2022,3000,126
981,1977,3974,3007,134
982,3993,4019,2985,69
983,2017,3968,2997,134
984,1991,2005,4039,150
985,4026,3991,1984,32
986,2975,2002,1004,60
987,24,3,4024,14
988,3040,4009,3986,45
989,3023,4969,21,199
990,996,2980,2000,209
991,2000,45,1999,76
992,1019,25,8,55
993,2010,4993,4994,81
994,3002,3998,3036,9
995,5,3996,2018,63
996,959,3998,1051,168
997,2006,4033,4000,48
998,5006,5030,1988,188
999,2011,5000,4979,81
1000,4014,4006,4994,114
1001,972,3988,2013,193
1002,1961,2005,5008,198
1003,1995,17,4006,92
1004,1964,10,9,148
1005,955,1997,2016,100
1006,3978,3037,20,109
1007,2971,4974,2987,194
1008,3017,971,971,101
1009,5,1010,29,173
1010,2010,1989,8,52
1011,5007,3000,23,5
1012,17,1009,2001,120
1013,4996,4986,2005,188
1014,3994,2976,1994,61
1015,1989,3013,3994,170
1016,4984,4010,4023,50
1017,28,3,3004,82
1018,5012,4023,2030,160
1019,3004,1003,994,101
1020,3997,1006,3019,116
1021,4988,3,3972,33
1022,985,5001,13,51
1023,7,996,2981,146
1024,4040,1991,3987,89
1025,974,4979,18,51
1026,1969,3969,3969,48
1027,2024,1002,5020,28
1028,3999,4001,2957,69
1029,1006,5012,3008,24
1030,22,1001,1003,110
1031,1019,2969,4965,13
1032,1014,2007,2984,37
1033,1022,4009,1018,168
1034,3009,15,2998,77
1035,2968,4998,3030,194
1036,2011,4974,1028,136
1037,7,29,4978,30
1038,2016,4008,4997,119
1039,2989,3004,8,186
1040,4027,2021,2009,135
1041,4018,1992,5016,123
1042,3005,2994,4019,202
1043,5002,18,990,78
1044,2007,4966,2986,195
1045,3978,996,2020,27
1046,2,5018,3007,58
1047,984,3975,3019,85
1048,4016,5008,986,113
1049,2990,4017,1056,171
1050,1974,33,1987,76
1051,5023,1995,3004,126
1052,4033,3018,3979,20
1053,5029,1004,9,192
1054,2021,5025,3977,187
1055,2008,1987,4961,198
1056,4007,4967,4982,72
1057,4,4972,989,125
1058,1999,5032,4000,187
1059,5031,2000,2012,99
1060,14,3983,16,40
1061,3013,1956,44,144
1062,4022,3020,1012,162
1063,965,4011,2011,193
1064,979,4970,47,51
1065,3028,1961,3021,139
1066,1968,2011,47,52
1067,9,0,1018,54
1068,4004,994,4026,166
1069,21,2,1003,54
1070,982,4013,1991,193
1071,4033,48,2994,49
1072,2002,4006,3998,48
1073,1993,1999,2994,31
1074,12,998,3022,146
1075,3017,4012,4026,45
1076,984,5000,13,51
1077,1999,3010,983,57
1078,1997,3976,2968,134
1079,3012,1003,2031,12
1080,2004,2015,1984,46
1081,4012,2997,24,109
1082,4970,2946,39,5
1083,4015,1999,5015,123
1084,4012,19,5012,169
1085,8,3006,2018,133
1086,3991,2996,5004,156
1087,3006,982,7,157
1088,18,1995,1032,56
1089,976,28,3976,159
1090,971,7,986,165
1091,3986,4000,1022,175
1092,3001,21,3951,137
1093,1003,10,4036,159
1094,1994,1973,4999,198
1095,2986,3994,3021,9
1096,1978,1990,1019,66
1097,5007,5008,4994,39
1098,1025,3961,1987,193
1099,33,16,981,54
1100,1015,2020,5014,103
1101,5021,4025,4985,67
1102,4978,2021,1,185
1103,3948,1008,6,68
1104,4973,5023,5052,39
1105,3975,5043,3,158
1106,3013,4022,4024,45
1107,1041,2987,4976,13
1108,2997,2021,5032,98
1109,1996,1004,1981,80
1110,15,1990,3008,178
1111,1018,24,3976,159
1112,17,999,5003,118
1113,1998,3977,7,115
1114,967,3999,2981,85
1115,4005,1047,4950,180
1116,4027,1000,4996,180
1117,2,4973,3977,47
1118,2996,1981,2963,139
1119,2998,975,978,101
1120,8,1008,3023,146
1121,1014,2001,3982,196
1122,1007,1005,4028,2
1123,6,3994,2974,122
1124,1025,5013,4995,23
1125,982,4986,994,203
1126,4950,997,996,41
1127,3983,2028,4014,89
