id,Feature_One,Feature_Two,Feature_Three,labels
263,1851,2117,1107,92
264,4022,2159,59,156
265,1923,4939,1822,59
266,713,3482,4084,39
267,2150,1812,5535,53
268,2132,2053,1228,92
269,2079,13,2932,132
270,3812,4147,811,108
271,4211,70,1025,157
272,259,3788,4266,123
273,3236,1241,3961,94
274,3166,4131,3119,88
275,3965,4345,144,98
276,1908,162,1853,97
277,230,3107,3043,158
278,4093,1787,1746,149
279,260,3179,5235,159
280,194,4877,3901,56
281,310,3322,898,114
282,4818,4273,165,111
283,1087,175,1015,160
284,2144,1724,699,92
285,3909,3637,3058,81
286,81,5127,820,103
287,628,3218,5229,49
288,745,2161,75,31
289,4999,514,5088,42
290,1874,4374,5090,134
291,110,1931,4741,64
292,4953,2974,2957,76
293,36,4782,983,103
294,363,127,751,161
295,1807,2004,1640,66
296,14,1970,4529,64
297,191,2767,4733,159
298,4147,59,1884,162
299,3735,4241,1007,108
300,2017,3949,173,163
301,899,4861,5067,164
302,3053,2959,3800,95
303,339,1885,206,165
304,1022,2081,1109,8
305,2006,2816,16,46
306,915,3875,141,166
307,722,1448,4068,167
308,5016,2817,5148,100
309,2945,818,986,168
310,5018,4016,4959,61
311,275,2104,155,165
312,3919,365,80,20
313,802,1288,3054,82
314,1189,3037,9,2
315,164,5087,5125,16
316,5103,1177,13,60
317,5140,1841,4653,99
318,4261,3806,4020,45
319,1433,4229,3234,32
320,1080,982,3935,167
321,4981,4774,4017,148
322,986,4048,332,166
323,4049,160,3801,169
324,4870,3039,4126,143
325,4655,182,734,170
326,163,869,236,171
327,1383,5043,95,13
328,4175,3219,2875,43
329,3380,4786,3117,9
330,3756,105,80,34
331,2948,1618,4075,130
332,1460,1056,4870,172
333,86,172,1897,101
334,148,995,4305,173
335,3741,153,4981,86
336,1931,3628,2863,32
337,812,4266,818,74
338,982,1225,3830,167
339,3942,5271,1905,102
340,3594,3257,38,17
341,2205,4853,927,174
342,1280,4225,5348,175
343,1160,83,4182,22
344,4915,2909,843,176
345,5073,4218,754,144
346,3968,3023,3832,177
347,2168,2153,5154,53
348,2096,1902,2885,44
349,621,66,2047,40
350,1046,179,4121,22
351,1163,4258,2664,71
352,100,2183,2990,178
353,3999,956,5073,138
354,1347,1974,82,31
355,3090,137,953,78
356,5215,41,2159,137
357,987,247,5192,37
358,3159,1208,4894,179
359,3959,4057,5023,30
360,22,1072,1039,72
361,305,2678,3061,158
362,2332,4920,979,174
363,296,5212,2976,65
364,1647,390,1066,52
365,5337,3925,83,111
366,4900,203,75,67
367,1264,3687,4030,51
368,3684,4410,3856,45
369,952,4168,2002,58
370,2747,2155,5010,180
371,4010,3115,3185,43
372,4832,4912,5506,151
373,4416,900,5045,138
374,2244,2051,3170,44
375,3938,2004,158,156
376,4778,1825,3981,181
377,3930,2963,708,182
378,4844,2054,5021,99
379,2932,2837,5266,23
380,4933,902,1892,133
381,4037,2842,4134,177
382,2078,4687,146,75
383,4026,3163,4195,177
384,2310,2163,1218,92
385,840,3977,24,166
386,2951,4996,4026,14
387,2069,4,2624,132
388,4139,2380,2041,149
389,209,2768,28,109
390,3182,58,2906,48
391,3624,2849,3784,95
392,1173,4306,4748,175
393,4368,215,11,34
394,578,1022,2522,82
395,215,3066,2142,24
396,1097,3320,3961,39
397,60,3870,2888,115
398,870,1695,80,31
399,5000,1040,3078,183
400,4095,4984,4331,128
401,2321,117,2848,132
402,842,2150,2778,1
403,5079,4565,2244,57
404,4117,2501,172,17
405,1835,4079,5071,134
406,4499,3884,3912,124
407,64,1530,2767,178
408,748,1987,3076,1
409,258,2823,2891,158
410,5222,3505,1492,176
411,3035,888,124,0
412,4127,2957,24,17
413,208,1421,390,171
414,5089,5139,128,184
415,3994,912,4083,185
416,183,1100,4790,116
417,1960,1134,1013,55
418,4309,3189,5010,186
419,5257,897,4988,154
420,63,4051,3994,123
421,2991,4782,5193,77
422,3431,5247,3046,9
423,100,1680,1891,187
424,3401,380,757,78
425,2520,667,1610,105
426,4896,290,845,170
427,5147,1199,3225,183
428,1944,5055,115,75
429,1177,5045,5075,164
430,146,2870,828,114
431,5193,15,1715,137
432,4202,1062,2027,7
433,5224,160,4886,42
434,918,475,966,160
435,2690,3277,421,188
436,4094,921,2069,7
437,5318,2116,222,110
438,4041,986,1969,7
439,2905,4150,3912,21
440,1027,5042,1185,189
441,2204,2127,297,85
442,2016,4814,979,174
443,4998,108,5040,42
444,930,630,4264,167
445,5183,94,86,67
446,2205,2767,2618,112
447,2092,1375,826,55
448,394,2324,4168,150
449,261,1392,3023,80
450,960,21,2156,40
451,4205,1295,4546,138
452,133,2017,1489,93
453,30,156,4012,190
454,2993,2094,4779,180
455,277,4866,1985,191
456,32,5062,3040,65
457,1131,57,221,192
458,3906,1200,3845,185
459,3147,1197,4993,179
460,889,3114,1000,5
461,59,1068,3011,80
462,2830,4342,2088,193
463,1188,282,377,192
464,1897,3134,346,46
465,2315,133,3079,132
466,4806,2686,4970,100
467,4764,152,2184,137
468,4036,5042,4202,128
469,5177,248,4694,42
470,2155,2071,212,85
471,1984,1207,187,194
472,3836,1964,1773,149
473,1055,1992,2109,195
474,2065,980,2595,12
475,244,4177,5017,73
476,4963,4115,4131,124
477,3050,1730,724,196
478,971,124,2067,40
479,2222,3032,1112,68
480,5199,941,4897,154
481,885,1985,360,31
482,967,1452,1101,36
483,743,1096,4115,167
484,209,4230,2837,115
485,1005,247,912,160
486,817,675,2182,47
487,937,82,2099,40
488,1194,3707,116,166
489,831,4969,117,13
490,2037,3817,3325,32
491,5136,5288,2950,197
492,181,2121,3942,150
493,3093,3144,211,188
494,4035,2029,3333,125
495,1111,1149,1971,47
496,3911,1176,4897,138
497,4076,3930,1939,198
498,3123,3100,4149,95
499,4469,4000,4066,45
500,1934,42,219,199
501,3058,4180,1854,193
502,5142,798,4971,154
503,4958,2012,130,110
504,1242,4235,5043,175
505,989,1301,5255,172
506,3175,3259,3138,200
507,2865,4696,2189,155
508,2703,2946,4149,95
509,2002,4212,5263,134
510,5177,1935,1907,201
511,3350,5238,2263,155
512,3003,4091,3994,21
513,3032,167,4820,15
514,2924,2020,1888,27
515,165,1202,1244,72
516,1073,1222,4857,172
517,227,3352,556,109
518,3181,990,4072,94
519,1031,3027,53,2
520,4903,3918,285,111
521,4116,2214,990,147
522,860,3816,4641,175
523,4392,4744,901,117
524,1076,938,3174,82
525,3004,4994,124,152
526,1219,2137,1019,8
527,898,2863,2745,89
528,2903,159,2180,104
529,5233,2900,3924,143
530,1856,4163,2088,202
531,901,4933,59,13
532,1224,4044,3778,51
533,2833,132,3783,18
534,4157,1134,179,20
535,3212,1862,74,196
536,2063,1874,818,92
537,3432,5224,4089,14
538,4114,2503,2993,43
539,2753,5132,4871,77
540,147,132,939,161
541,3804,5526,210,142
542,1749,3986,4965,134
543,3803,1910,4902,87
544,3136,4582,39,152
545,3317,13,1972,104
546,1126,3651,1160,74
547,3012,1065,3177,203
548,2958,431,1245,78
549,903,3878,2244,58
550,3038,2970,3245,200
551,4152,113,1060,157
552,4968,4044,988,144
553,1303,1087,2339,47
554,4934,2107,3081,28
555,3977,4960,2168,102
556,3156,3807,4936,11
557,1262,5044,1872,129
558,1335,5296,3084,33
559,2170,1047,1046,55
560,1385,134,1789,40
561,1027,4907,579,189
562,2190,5165,4792,83
563,1985,2418,4157,69
564,4337,2906,2541,43
565,5223,2875,3264,76
566,3114,19,3846,18
567,4082,1113,1045,119
568,2241,3011,1219,68
569,39,1373,2942,80
570,319,3082,1941,24
571,177,2662,4866,159
572,5415,1665,3282,28
573,2717,2295,5173,180
574,4007,3132,5240,186
575,4088,5122,2759,6
576,2125,3276,3945,136
577,2172,4075,4089,96
578,23,2318,2961,178
579,3824,4716,3236,6
580,3983,2834,4921,186
581,5081,64,1971,137
582,3696,1760,2775,125
583,5193,5084,4179,148
584,36,4742,4011,56
585,5079,1099,748,131
586,57,2920,3887,145
587,1341,2918,3993,39
588,4999,3334,4240,143
589,3078,4856,3946,14
590,2605,1688,2047,27
591,2923,694,5091,179
592,3711,1980,844,147
593,2432,4968,339,152
594,878,5024,1086,189
595,2917,2011,5045,180
596,744,272,1901,40
597,1758,4072,9,163
598,228,3874,126,10
599,3992,2954,4933,186
600,1903,5030,85,75
601,261,3163,3179,158
602,5050,3029,3190,76
603,1533,2378,2969,44
604,199,4634,5315,16
605,3941,2750,3898,177
606,2036,4774,1130,174
607,3133,2172,4911,180
608,2876,4637,728,204
609,2078,240,4328,29
610,710,5015,2888,33
611,1200,1705,4094,90
612,3789,2192,2032,149
613,4076,3678,443,98
614,5102,967,782,131
615,877,2056,3353,1
616,486,1354,1617,47
617,5094,5289,229,184
618,3927,3199,1050,182
619,4470,220,2199,162
620,4041,4224,19,98
621,5051,810,5093,154
622,836,3889,2212,58
623,2936,3085,1359,122
624,1251,2782,930,5
625,1124,3557,1954,58
626,4902,24,4874,42
627,1054,4880,22,13
628,4084,964,4274,185
629,4138,4376,2082,102
630,3974,1065,1749,7
631,2042,1192,1733,105
632,5045,2981,3752,143
633,4068,4210,5083,30
634,4,4111,1868,107
635,4772,2753,1054,176
636,5236,2965,2697,76
637,983,555,41,192
638,3385,10,1078,78
639,3183,791,5348,179
640,3739,3539,2904,81
641,2769,3930,5012,11
642,3119,1015,1015,168
643,198,3576,1974,107
644,1087,1852,2291,195
645,4084,4744,46,142
646,69,818,790,72
647,3086,2595,148,188
648,1167,3082,4973,49
649,996,57,1127,160
650,4030,1225,5016,138
651,140,3814,2787,115
652,1238,570,135,192
653,5142,781,2833,183
654,4198,5090,2141,102
655,2692,1150,2655,203
656,4173,3022,2716,43
657,268,5230,434,103
658,131,335,4265,190
659,93,4051,2291,107
660,3137,2780,4804,23
661,12,3937,2063,107
662,4024,3018,929,182
663,4704,2985,153,127
664,1696,5293,2988,121
665,2166,5167,613,174
666,5018,4921,995,41
667,737,1098,1945,47
668,3925,2858,3173,43
669,3725,4969,4118,128
670,3150,4757,1992,155
671,16,4913,3833,56
672,5163,4873,5207,151
673,4894,1194,3773,84
674,1902,3624,4799,134
675,157,2802,5152,159
676,30,3212,1039,114
677,76,2104,2926,178
678,831,1943,2112,195
679,133,2897,3004,158
680,4792,792,4947,154
681,1805,2043,3324,44
682,4844,3547,5056,100
683,5104,4755,3005,197
684,5075,1021,398,60
685,3218,4977,55,152
686,12,1048,449,171
687,2000,4921,2855,121
688,2956,47,750,78
689,991,5263,3899,26
690,867,1160,1999,47
691,3250,2958,4720,23
692,929,2826,3925,39
693,121,892,2273,91
694,3881,2288,1925,149
695,5210,1052,971,131
696,4127,91,2101,162
697,2134,4682,2123,59
698,3927,1252,2267,7
699,928,4937,3917,26
700,4787,218,4221,205
701,5011,2238,4785,99
702,1910,160,28,199
703,4960,2027,112,110
704,35,2093,4740,64
705,257,1834,106,165
706,2980,2400,5328,180
707,251,1958,4917,64
708,5019,1470,3378,183
709,1179,1855,3080,1
710,2756,68,4282,18
711,103,3253,75,109
712,4329,3709,1816,198
713,5250,1109,2739,183
714,4097,1803,4088,146
715,3123,2150,2841,79
716,162,5068,3939,56
717,731,1194,2217,47
718,3177,108,1675,104
719,3843,2153,1934,149
720,168,1033,4195,173
721,2911,156,1115,78
722,4328,4976,1114,117
723,1997,2989,2065,38
724,65,2768,3854,145
725,969,2169,4781,206
726,1299,4972,1996,129
727,1934,4254,1016,19
728,5298,4878,3119,197
729,2776,3329,4796,23
730,34,2867,5012,159
731,970,978,4877,172
732,2826,3945,2597,193
733,2118,959,175,194
734,949,5080,5122,164
735,3935,250,209,34
736,4238,4055,836,108
737,2132,1942,1783,66
738,4352,3934,3930,45
739,3839,5418,4941,4
740,251,2888,275,109
741,4233,4121,904,108
742,636,35,8,192
743,125,2730,2000,24
744,1095,4877,745,189
745,2994,5084,2736,9
746,204,1168,785,72
747,4250,1109,4180,185
748,4800,2979,2155,70
749,3037,5039,303,152
750,57,3890,987,63
751,4725,3362,4200,143
752,1064,3136,3383,89
753,4429,5164,4893,4
754,4993,2077,4814,99
755,4642,2895,151,127
756,1063,2157,4067,90
757,5310,186,5211,42
758,203,3974,266,10
759,1842,4728,1197,174
760,2627,3917,2097,193
761,1201,5114,892,189
762,3699,1098,3937,185
763,4403,4040,4589,30
764,130,2289,2867,178
765,169,5107,64,118
766,5171,3070,2877,76
767,5016,1281,2355,133
768,645,3142,2192,135
769,96,4048,1782,107
770,1884,344,3776,29
771,4109,1387,897,119
772,188,4433,2026,107
773,234,2084,3765,150
774,11,2192,5110,64
775,2076,4102,58,163
776,2926,2078,2273,27
777,766,3032,1073,5
778,4219,4901,5161,4
779,58,3100,1188,114
780,4865,1187,1515,133
781,2828,29,16,54
782,4835,3916,4087,124
783,3287,940,3254,203
784,1495,1292,2263,47
785,2035,4306,2169,202
786,5123,3764,3010,207
787,4752,3538,1756,208
788,1755,3881,5110,134
789,1173,4916,197,13
790,2050,2115,1867,66
791,2087,4993,136,75
792,4865,3878,83,111
793,3926,1201,2726,106
794,131,2017,1206,93
795,2954,3804,2011,193
796,2166,1166,4231,120
797,4196,1772,756,147
798,146,3941,1021,63
799,1011,5199,4130,26
800,1003,5340,4106,26
801,186,4845,1964,191
802,1697,3290,1016,68
803,2896,2849,1905,141
804,59,3042,295,109
805,4982,1900,3722,181
806,2016,3824,2918,32
807,3241,4954,232,152
808,1039,3116,2117,135
809,521,35,2721,209
810,188,4165,4801,73
811,5042,1137,2872,183
812,2144,3040,2874,112
813,1276,1038,4005,167
814,1812,1901,5072,53
815,3919,2996,3731,177
816,990,2342,167,31
817,2009,3812,14,163
818,98,213,1763,101
819,4712,982,3914,84
820,4641,5062,2960,197
821,3787,3176,2970,43
822,5052,1074,299,60
823,1986,1051,981,55
824,5150,2225,2927,28
825,5174,3214,415,127
826,32,5200,59,118
827,2672,581,3262,203
828,2357,1981,3989,69
829,2801,1135,1280,168
830,4922,1892,4432,181
831,2826,22,87,54
832,111,1841,26,165
833,878,2299,2620,1
834,4990,2939,38,127
835,810,2844,4120,39
836,2770,1362,1087,168
837,739,2242,1986,195
838,3958,3578,2021,198
839,4916,3877,4831,61
840,2192,1158,2140,105
841,814,2470,128,31
842,5047,2121,2149,201
843,3997,2824,4032,177
844,133,2909,3236,158
845,2216,980,4026,120
846,3945,4918,78,142
847,3059,5192,3869,14
848,4963,5021,112,184
849,3066,944,3013,203
850,2974,2311,259,196
851,4180,2956,4043,177
852,3213,3769,1834,193
853,3966,727,2955,106
854,3015,4116,853,153
855,4974,4779,257,184
856,3999,581,2091,7
857,3024,2745,57,188
858,689,3690,1785,58
859,1211,713,3903,167
860,46,2486,752,93
861,4757,544,1151,131
862,3845,4043,3846,45
863,3962,3059,2854,43
864,3062,3099,892,122
865,1932,3296,3922,136
866,4194,1825,4828,87
867,261,4876,196,118
868,2397,1774,770,92
869,3763,1741,2640,125
870,5044,4342,1502,208
871,3837,306,5383,86
872,164,1007,4711,116
873,1023,2311,2292,195
874,3295,4115,4137,21
875,65,108,3785,190
876,5322,4954,719,41
877,4833,281,4883,42
878,2774,89,4001,18
879,255,3257,2842,158
880,1765,3193,174,46
881,3967,2952,1991,210
882,2435,2206,4768,53
883,4072,5041,2122,102
884,87,2116,164,165
885,5037,3925,4910,61
886,1696,3090,4929,126
887,2157,5157,1289,174
888,5210,4590,3902,148
889,3784,5056,3760,128
890,858,135,16,192
891,965,1091,424,211
892,3023,4013,204,212
893,152,1015,1886,91
894,4171,3123,3836,177
895,2066,5276,3007,121
896,932,1220,2988,82
897,79,2873,2027,24
898,662,3101,2043,135
899,812,5265,2831,33
900,4256,2185,2709,125
901,517,3186,5323,159
902,2057,4280,1904,202
903,637,82,77,192
904,4696,1719,4288,181
905,3015,4835,4881,77
906,2973,4079,3027,88
907,4091,996,2782,106
908,4281,3790,3697,45
909,1958,4967,3649,213
910,4859,650,5030,154
911,4817,3272,1004,176
912,4252,2412,3056,125
913,49,4077,1270,63
914,2774,4207,3091,88
915,1638,2945,2011,38
916,4162,75,4104,169
917,1800,4887,4521,213
918,4146,24,98,34
919,90,1043,2117,91
920,2844,2718,1751,141
921,1271,4889,5037,164
922,3925,3291,5050,186
923,1264,4102,1315,74
924,1998,259,5010,214
925,2152,3949,4123,96
926,2045,2580,3951,136
927,97,1531,1895,91
928,2479,3098,1367,122
929,2173,2088,314,85
930,3555,2189,5107,87
931,69,5075,14,118
932,366,568,4127,173
933,3017,2933,144,188
934,77,2058,3168,178
935,3069,3943,4105,21
936,144,1165,5305,116
937,983,2169,4082,90
938,3971,3857,4205,45
939,1759,2038,2920,44
940,1241,3059,90,2
941,191,2147,214,165
942,1219,1516,708,8
943,2986,5065,2634,9
944,4955,15,5003,42
945,4900,1553,3113,28
946,3153,2088,7,196
947,31,2774,2904,158
948,2048,2338,1952,66
949,2990,1823,775,3
950,263,1733,2774,178
951,30,5067,3945,56
952,4472,1754,3936,181
953,2136,4139,2244,202
954,1116,874,2213,47
955,3959,2207,915,147
956,5045,3134,5211,100
957,1783,2094,993,92
958,2627,5200,4068,14
959,1669,2,159,199
960,5163,241,2019,137
961,1157,2115,67,31
962,81,3932,1140,63
963,4999,916,4852,154
964,5059,1015,145,60
965,688,3767,158,166
966,4050,24,1068,157
967,4086,4619,3007,6
968,90,2978,1978,24
969,910,2854,2998,89
970,3181,2822,4851,23
971,2770,1862,44,196
972,207,3973,2174,107
973,2740,4877,2044,155
974,4778,1095,1003,131
975,3154,3691,1160,153
976,722,3217,36,2
977,4123,1972,1944,149
978,1984,4714,4780,83
979,4176,5219,2034,102
980,1834,263,2056,97
981,5213,743,690,131
982,1153,2097,1815,195
983,3816,4147,2483,81
984,3997,5051,769,117
985,143,4174,80,10
986,841,789,218,211
987,2990,1148,2509,35
988,4235,39,5,34
989,4161,1028,821,119
990,2430,242,4298,29
991,1902,4566,2765,121
992,1737,3804,889,19
993,3783,3898,4094,45
994,285,5031,2404,191
995,2809,2913,5198,23
996,2874,5087,4772,77
997,4097,4917,255,142
998,1065,5024,1085,189
999,4988,2033,3960,181
1000,2016,3981,5063,134
1001,337,4801,972,103
1002,1238,334,2770,140
1003,43,2022,5215,64
1004,1755,127,2192,97
1005,5042,3085,3468,76
1006,2868,4772,38,152
1007,1058,1030,1276,36
1008,1174,3689,322,166
1009,1871,3026,975,68
1010,3754,3715,955,108
1011,4927,3945,4094,124
1012,42,3051,2989,158
1013,156,228,786,161
1014,903,1924,1642,195
1015,3871,53,4872,86
1016,55,1875,2996,178
1017,2956,395,1773,104
1018,1881,128,1012,52
1019,5158,2717,155,127
1020,4266,5065,53,142
1021,1026,4083,4013,51
1022,5054,848,382,60
1023,3932,4939,898,117
1024,2944,3911,3723,21
1025,5332,136,4068,205
1026,86,4685,196,118
1027,1930,1247,136,194
1028,5048,5129,4597,151
1029,4050,3718,1150,108
1030,4021,227,4223,169
1031,4929,141,68,67
1032,4666,269,3380,139
1033,2999,52,5131,15
1034,680,57,2088,40
1035,972,5012,4986,164
1036,1884,169,3946,29
1037,118,4742,3998,56
1038,4042,5475,5198,4
1039,3937,1740,880,147
1040,973,3230,1061,5
1041,2653,2215,3967,130
1042,4675,5092,203,184
1043,10,1073,1092,72
1044,262,1045,131,171
1045,3929,990,1297,119
1046,393,929,3983,173
1047,3935,1874,2025,149
1048,3084,4873,1076,204
1049,3959,5109,1001,117
1050,4030,178,129,34
1051,139,4195,4092,123
1052,4209,278,2836,215
1053,4230,1363,5134,138
1054,4993,4945,5318,151
1055,3237,1193,961,168
1056,868,4451,3018,71
1057,1056,216,3902,22
1058,3637,5248,823,117
1059,876,772,3976,167
1060,105,5339,2900,65
1061,3230,4857,3951,14
1062,3117,2992,3769,95
1063,1916,945,3039,12
1064,1010,203,2400,40
1065,3793,3960,2939,81
1066,3728,4107,852,108
1067,1355,1067,899,36
1068,3074,3913,20,212
1069,1742,5252,2769,121
1070,2098,322,3180,132
1071,2313,4277,4197,96
1072,3622,2149,174,156
1073,4135,8,943,157
1074,127,876,760,72
1075,194,970,65,171
1076,4695,19,4679,42
1077,3127,3013,2032,141
1078,5294,2390,139,110
1079,5387,642,967,131
1080,1886,5,876,52
1081,137,4571,4853,16
1082,55,3027,3051,158
1083,1915,464,4058,29
1084,5162,1762,3866,181
1085,2044,1753,296,85
1086,2095,1816,3875,69
1087,1810,922,863,55
1088,5272,4767,1885,57
1089,4017,3860,2314,198
1090,1613,807,916,55
1091,2013,47,1021,52
1092,1973,1283,1085,55
1093,123,2927,1001,114
1094,71,5033,3043,65
1095,1188,3991,3090,71
1096,1034,888,301,211
1097,5265,76,4879,42
1098,1965,1022,1897,105
1099,1838,4541,2176,59
1100,2894,2989,3742,95
1101,4462,1152,23,20
1102,4745,3711,31,111
1103,2179,2188,2133,66
1104,3934,1733,2697,125
1105,1031,4875,319,13
1106,3696,1763,3875,146
1107,143,2799,29,109
1108,3118,1255,3660,94
1109,98,4061,3185,115
1110,1004,4925,485,13
1111,69,922,4048,173
1112,3008,1674,4760,180
1113,3884,3268,4091,177
1114,1196,2013,4878,206
1115,4899,754,4685,154
1116,4163,3666,4865,30
1117,2159,4382,962,19
1118,1085,566,464,211
1119,105,4809,2131,191
1120,3973,1302,2269,7
1121,4811,4790,243,184
1122,264,951,4737,116
1123,1866,3027,88,46
1124,38,1934,949,93
